,Lat,Lon
0,59.95,30.3167
1,55.77255,37.61898
2,59.95,30.3167
3,55.71428,37.56322
4,59.95,30.3167
5,6.46678646,3.49159241
6,5.02733492,7.90466309
7,59.934047,30.30595
8,59.95,30.3167
9,54.82704884,55.042319
10,59.8427,30.3219
11,59.95,30.3167
12,58.86535022,42.61368749
13,59.95,30.3167
14,59.94,30.32861111
15,59.92544,30.29594
16,55.71583333,37.55361111
17,41.691828,-8.83441
18,55.71583333,37.55361111
19,59.95,30.3167
20,59.95,30.3167
21,55.77255,37.61898
22,59.95,30.3167
23,59.95,30.3167
24,55.77255,37.61898
25,59.95,30.3167
26,55.71428,37.56322
27,59.95,30.3167
28,6.46678646,3.49159241
29,5.02733492,7.90466309
30,59.934047,30.30595
31,59.95,30.3167
32,54.82704884,55.042319
33,59.8427,30.3219
34,59.95,30.3167
35,58.86535022,42.61368749
36,59.95,30.3167
37,59.94,30.32861111
38,59.92544,30.29594
39,55.71583333,37.55361111
40,41.691828,-8.83441
41,55.71583333,37.55361111
42,59.95,30.3167
43,55.77255,37.61898
44,59.95,30.3167
45,55.71428,37.56322
46,59.95,30.3167
47,59.95,30.3167
48,55.77255,37.61898
49,59.95,30.3167
50,55.71428,37.56322
51,59.95,30.3167
52,6.46678646,3.49159241
53,5.02733492,7.90466309
54,59.934047,30.30595
55,59.95,30.3167
56,54.82704884,55.042319
57,59.8427,30.3219
58,59.95,30.3167
59,58.86535022,42.61368749
60,59.95,30.3167
61,59.94,30.32861111
62,59.92544,30.29594
63,55.71583333,37.55361111
64,41.691828,-8.83441
65,55.71583333,37.55361111
66,59.95,30.3167
67,59.95,30.3167
68,55.77255,37.61898
69,59.95,30.3167
70,55.71428,37.56322
71,59.95,30.3167
72,6.46678646,3.49159241
73,5.02733492,7.90466309
74,59.934047,30.30595
75,59.95,30.3167
76,54.82704884,55.042319
77,59.8427,30.3219
78,59.95,30.3167
79,58.86535022,42.61368749
80,59.95,30.3167
81,59.94,30.32861111
82,59.92544,30.29594
83,55.71583333,37.55361111
84,41.691828,-8.83441
85,55.71583333,37.55361111
86,59.95,30.3167
87,35.0,135.75
88,59.941158,30.326188
89,25.8081,-80.3533
90,-2.0053689,30.0892638
91,59.95,30.3167
92,26.27008,-80.25919
93,26.27008,-80.25919
94,5.65638696,-0.15742693
95,-23.08638889,-46.95055556
96,59.9404,30.3139
97,59.95,30.3167
98,55.77255,37.61898
99,59.95,30.3167
100,59.95,30.3167
101,55.77255,37.61898
102,59.95,30.3167
103,55.71428,37.56322
104,59.95,30.3167
105,6.46678646,3.49159241
106,5.02733492,7.90466309
107,59.934047,30.30595
108,59.95,30.3167
109,54.82704884,55.042319
110,59.8427,30.3219
111,59.95,30.3167
112,58.86535022,42.61368749
113,59.95,30.3167
114,59.94,30.32861111
115,59.92544,30.29594
116,55.71583333,37.55361111
117,41.691828,-8.83441
118,55.71583333,37.55361111
119,59.95,30.3167
120,35.0,135.75
121,59.941158,30.326188
122,25.8081,-80.3533
123,-2.0053689,30.0892638
124,59.95,30.3167
125,26.27008,-80.25919
126,26.27008,-80.25919
127,5.65638696,-0.15742693
128,59.95,30.3167
129,55.77255,37.61898
130,59.95,30.3167
131,55.71428,37.56322
132,59.95,30.3167
133,55.77255,37.61898
134,59.95,30.3167
135,55.71428,37.56322
136,59.95,30.3167
137,6.46678646,3.49159241
138,5.02733492,7.90466309
139,59.934047,30.30595
140,59.95,30.3167
141,54.82704884,55.042319
142,59.8427,30.3219
143,59.95,30.3167
144,58.86535022,42.61368749
145,59.95,30.3167
146,59.94,30.32861111
147,59.92544,30.29594
148,55.71583333,37.55361111
149,41.691828,-8.83441
150,55.71583333,37.55361111
151,59.95,30.3167
152,35.0,135.75
153,59.941158,30.326188
154,25.8081,-80.3533
155,-2.0053689,30.0892638
156,59.95,30.3167
157,26.27008,-80.25919
158,26.27008,-80.25919
159,59.95,30.3167
160,55.77255,37.61898
161,59.95,30.3167
162,55.71428,37.56322
163,59.95,30.3167
164,59.95,30.3167
165,55.77255,37.61898
166,59.95,30.3167
167,55.71428,37.56322
168,59.95,30.3167
169,6.46678646,3.49159241
170,5.02733492,7.90466309
171,59.934047,30.30595
172,59.95,30.3167
173,54.82704884,55.042319
174,59.8427,30.3219
175,59.95,30.3167
176,58.86535022,42.61368749
177,59.95,30.3167
178,59.94,30.32861111
179,59.92544,30.29594
180,55.71583333,37.55361111
181,41.691828,-8.83441
182,55.71583333,37.55361111
183,59.95,30.3167
184,35.0,135.75
185,59.941158,30.326188
186,25.8081,-80.3533
187,-2.0053689,30.0892638
188,59.95,30.3167
189,26.27008,-80.25919
190,59.95,30.3167
191,55.77255,37.61898
192,59.95,30.3167
193,55.71428,37.56322
194,59.95,30.3167
195,6.46678646,3.49159241
196,5.02733492,7.90466309
197,59.95,30.3167
198,55.77255,37.61898
199,59.95,30.3167
200,55.71428,37.56322
